transferId,deployHash,blockHash,sourcePurse,targetPurse,amount,fromAccount,toAccount,timestamp
null,bf8f118790237c1a4c48c6995323c9d2dce95800f1c4dc5b944802a153ef13c5,01dff128573b1f69250b768ec07f91feedb56cc5b96b078df2ec5eeae2051b9c,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-00df4d895041d9f041c7f73843dcaa4ab96ff27c6c61d061f0d345939af93d01-004,517000000000,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,80e12a339fc391d3fd015fc6fa55467b8132b4fe52ae4cbb7cd170674efa04f6,2021-09-18T10:44:35.000Z
3495,a0019f381f85f463b62130b0f1afa574db6df196075dc1ccd6169b5732911db9,83f407a85e4068a9257f65c2e96580d0fd11e99dba7bd7df074fe4fcaa13b0ae,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-f85816821db61ecec2fcffac5f41c420633c702a0f2c2ed07d8b30c9f2cdfecb-004,80686969120,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,36a53847967861e29a611465c56c3b23b46ee6b258dcb7d4f0e70327341bb11e,2021-09-18T10:36:35.000Z
3494,66856890a00e5dc5af09c97073ef4500f2dbdda9bfd6e975c364d80eef71b7e8,05465315aa37743b35c43b84d8e4326f613c79c3d6aa603727aa17a639bc1dcf,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-f85816821db61ecec2fcffac5f41c420633c702a0f2c2ed07d8b30c9f2cdfecb-004,100000000000,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,36a53847967861e29a611465c56c3b23b46ee6b258dcb7d4f0e70327341bb11e,2021-09-18T10:35:33.000Z
1631960515818,04d0359cf3aec5afde026b89c18a00852d377379572ffcb2b9cf4c95cfe46937,1cf77d6ba489247a11e0c28d2c24abe5eae60da2d90a8b74de8b298939646bfb,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-00e3e2870775d50153dec26985447f149b4fcb287d19d06d16ac16112a2033e4-004,5000000000,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,f309729fc4ab30a83977da0a81513890cdcd90a51aee8af7a69d31e605cb65e6,2021-09-18T10:25:32.000Z
null,98ef1bd4e4f0e5b8b3bf4d9860038b27e3e9a32002b834c2763047f4da446c1f,503bdca5b158af0063ad02250d906eaca42baf96dbd66b55c8e5e89f9d17ac22,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-8495b919336ac5d1679dc451aef52eae355f92884c5a3dcc9cd944a524e60615-004,90791958100,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,56d0c79ae52fa607d451b4f26fb30d3d7efb0b981c0c35c3684140b1c6f1528d,2021-09-18T10:19:30.000Z
null,b3da2743a5451967cafbc300d8a67a5dfb39466a4fb797ea67a2e3a286aed717,1c7799df3c59eb9a7e43591d782f5098774cd1e051cc1d763640c21309b2a76a,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-fa29865c5649b19b94774ca2d87909e6ffb4ab9dac19bb12f8f43514687eba0b-004,51789134310,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,7cfcb2fbdd0e747cabd0f8fe4d743179a764a8d7174ea6f0dfdb0c41fe1348b4,2021-09-18T10:18:40.000Z
null,5c34f0da656f343cbf231475bce9fae3bd01003a4efcd08863b4fbb0fd36c328,f06c2dccbdba0561b1232e2b39eed9946af38ff190a5a831a362ff44e1482b34,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-8495b919336ac5d1679dc451aef52eae355f92884c5a3dcc9cd944a524e60615-004,6000000000,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,56d0c79ae52fa607d451b4f26fb30d3d7efb0b981c0c35c3684140b1c6f1528d,2021-09-18T10:12:35.000Z
null,b0477bbb29bf2f66d02db3a7b8db16dc524d7de5a96b45769cc8145ea0513e27,0405cf109fe35eca891e25acd5ef2b25ff8d97432205b59ba548949196df7420,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-067a6025d8c5d760d342e254940c1986b016cfed38403becd9f4cef746d76fe3-004,80686969120,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,bd3288e6d9c7351d4b17b5b0a2565254f6f5e3996d71472071173e0c3238e8be,2021-09-18T10:02:37.000Z
null,102605fe24cd18d7cf2c7f26c62fcb2255b9c4acc04d2904f0c06b57043f28cf,8fddbfd1964e39634b54d4de2be913df88871c5a1ad48794a3e4535318315f95,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-6ca6640dafac521caf8384c61655c57460ed3ddec382b4b31dbb738113bfec42-004,97622268945100,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,835de6d49762fe030e3133d268d13f4486986223c0b87310d2a2024668cd42ec,2021-09-18T09:48:36.000Z
509,fbd256c17b19e195b08f64b11702e5ada4340ee5ab817798ec22e0002aa3ffdd,e0b19037b63cd830eeb4c91654ce44ef4e68880bd30ef56692b5fc3155796130,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-f30e3d12a311795bb287eda303dbe215e6547519be7c6508e76e92c27c2448d9-004,11652000000000,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,0c76e53b1310a42cb1afe34473c3566f527285a0b9fb47452fbbf8dbd83096ac,2021-09-18T09:46:34.000Z
